                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1183,                 3.2655,                 4.1814,                0.01671,                0.85864,                0.04841,                0.02446,                 2.8554,                 3.1206,                 4.1516,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.1058,                 2.9269,                  4.046,                0.01671,                0.85864,                0.05768,                0.02846,                 2.8231,                 3.0525,                 4.1111,             0.00061386,             0.00061386,             0.00061386
                      2,                 2.9912,                  2.697,                 3.8313,                0.01687,                0.86699,                0.17965,                0.06354,                 2.6649,                  2.902,                 3.9322,             0.00092139,             0.00092139,             0.00092139
                      3,                 2.8093,                 2.6056,                 3.5689,                0.06821,                0.63579,                0.25419,                0.09869,                 2.6567,                 3.4747,                 3.4902,              0.0012226,              0.0012226,              0.0012226
                      4,                 2.6398,                 2.5206,                  3.326,                0.06013,                0.66643,                0.37351,                0.13267,                  2.656,                 2.9365,                  3.825,              0.0015174,              0.0015174,              0.0015174
                      5,                 2.5103,                 2.3832,                 3.1439,                 0.0421,                0.66852,                0.14745,                0.05508,                 2.6791,                  3.215,                 3.2963,               0.001806,               0.001806,               0.001806
                      6,                 2.3506,                 2.2928,                 2.9786,                0.18593,                0.24861,                0.14997,                0.05247,                 2.8301,                  2.959,                  3.801,              0.0018812,              0.0018812,              0.0018812
                      7,                 2.1633,                 2.1818,                 2.8231,                0.34174,                0.29682,                0.23755,                0.09479,                 2.6768,                 3.1944,                 3.5819,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0772,                 2.1149,                 2.7054,                0.43236,                0.32799,                 0.2729,                0.09466,                   2.84,                 3.0848,                 3.7533,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9338,                 2.0625,                 2.5508,                0.54547,                0.42967,                0.42276,                0.19111,                 2.2279,                 2.3786,                 2.8989,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8576,                 1.9783,                 2.4855,                0.58688,                0.46936,                0.45089,                0.21023,                 2.1531,                 2.3847,                 2.9254,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7411,                 1.9037,                 2.3874,                 0.6357,                0.56964,                0.55847,                0.26641,                  1.652,                 2.3775,                 2.3971,               0.001802,               0.001802,               0.001802
                     12,                    1.7,                 1.8081,                 2.3191,                0.54379,                0.58914,                0.55873,                0.27106,                 1.5326,                 2.2406,                 2.2229,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5735,                    1.7,                 2.2164,                0.70748,                0.61644,                  0.642,                0.35799,                 1.4326,                  1.797,                 2.1236,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.567,                 1.6909,                 2.2048,                0.80234,                0.59958,                0.69389,                  0.404,                 1.4419,                 1.7505,                 2.1184,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.432,                 1.5665,                 2.0803,                0.75514,                0.63998,                0.70142,                0.41938,                  1.356,                  1.654,                 2.0559,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4078,                 1.5652,                 2.0715,                0.79595,                0.62813,                0.72123,                0.43709,                 1.2705,                 1.5512,                 1.9069,               0.001703,               0.001703,               0.001703
                     17,                 1.4018,                 1.5529,                 2.0304,                0.72942,                0.63075,                0.73075,                0.47356,                 1.1669,                 1.7315,                  1.777,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3538,                 1.5033,                 1.9911,                0.81702,                0.66156,                0.75744,                0.47081,                 1.2695,                 1.5955,                 1.8636,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3498,                 1.4809,                 1.9717,                0.79782,                0.66225,                0.76599,                0.49415,                 1.1921,                 1.5149,                 1.8413,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3164,                  1.457,                 1.9683,                0.85358,                0.65363,                0.78371,                0.50019,                 1.1701,                 1.4683,                 1.7486,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2809,                 1.4227,                  1.901,                0.82251,                0.65509,                0.76447,                0.50073,                 1.1081,                 1.4092,                 1.7225,               0.001604,               0.001604,               0.001604
                     22,                 1.2068,                  1.382,                 1.8586,                0.82026,                0.68645,                0.79082,                0.53173,                 1.1031,                  1.314,                 1.6919,              0.0015842,              0.0015842,              0.0015842
                     23,                   1.21,                 1.3327,                  1.848,                0.79925,                0.69588,                0.79256,                0.52654,                 1.1702,                 1.3166,                 1.7713,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.196,                 1.3368,                 1.8287,                0.82795,                0.70708,                0.80868,                  0.539,                 1.1203,                 1.2542,                 1.6869,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1866,                 1.2941,                 1.8161,                0.80577,                0.72075,                0.81063,                0.54456,                 1.0502,                 1.2985,                 1.6445,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1679,                 1.2979,                 1.7877,                0.83416,                0.68175,                0.81843,                0.57288,                0.98533,                 1.2484,                 1.5664,               0.001505,               0.001505,               0.001505
                     27,                 1.1424,                 1.2891,                 1.7749,                0.78329,                 0.7507,                0.81594,                0.51558,                 1.2016,                 1.3824,                  1.741,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.183,                 1.2936,                 1.8095,                0.80263,                0.68815,                0.80747,                0.56994,                 1.0034,                 1.1434,                 1.5946,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0952,                 1.2167,                 1.7273,                0.84593,                0.73796,                 0.8544,                0.60462,                 1.0139,                 1.1301,                 1.5748,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0938,                 1.2046,                 1.7254,                0.83752,                0.70682,                0.82708,                0.59494,                0.98491,                 1.0857,                   1.55,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0579,                 1.1751,                 1.6757,                0.82942,                 0.7493,                  0.841,                0.58371,                0.98839,                 1.2291,                 1.5608,               0.001406,               0.001406,               0.001406
                     32,                 1.0892,                 1.1844,                  1.714,                0.86973,                0.75905,                0.87388,                0.62165,                0.97843,                 1.1278,                 1.5839,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0571,                 1.1862,                  1.693,                0.85781,                0.77724,                0.88194,                 0.6309,                0.94937,                 1.0441,                 1.5309,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0151,                 1.1279,                 1.6487,                0.87545,                0.76361,                0.87682,                0.64581,                 0.9034,                 1.0007,                 1.4738,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0774,                 1.1636,                 1.6886,                0.82881,                0.78891,                0.87054,                0.62684,                0.92321,                 1.1396,                 1.5042,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.034,                  1.089,                 1.6525,                0.86549,                0.75278,                 0.8679,                0.63226,                0.90943,                0.96611,                  1.485,               0.001307,               0.001307,               0.001307
                     37,                0.99411,                 1.0885,                 1.6293,                0.85464,                0.75348,                0.86807,                0.64993,                0.90296,                0.95415,                  1.479,              0.0012872,              0.0012872,              0.0012872
                     38,                0.99458,                 1.0758,                 1.6009,                0.85539,                0.81058,                0.89811,                0.66328,                0.94816,                0.93743,                 1.4774,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.9865,                 1.0785,                 1.6153,                0.87029,                0.79433,                0.90094,                0.66924,                0.89455,                0.91466,                 1.4549,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9686,                 1.0561,                 1.6007,                0.88605,                0.78482,                0.89514,                0.66826,                0.88347,                0.94125,                 1.4655,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0243,                 1.0926,                  1.643,                0.87237,                0.81058,                0.90903,                0.69784,                0.83656,                0.91937,                 1.4022,               0.001208,               0.001208,               0.001208
                     42,                0.94533,                 1.0275,                 1.5711,                0.90144,                0.78343,                0.90089,                 0.6932,                0.84475,                0.85019,                 1.4115,              0.0011882,              0.0011882,              0.0011882
                     43,                0.92802,                 1.0224,                  1.558,                0.86741,                0.79109,                0.88995,                0.67654,                0.87098,                0.87974,                 1.4183,              0.0011684,              0.0011684,              0.0011684
                     44,                0.94796,                 1.0351,                 1.5738,                0.88051,                0.84123,                0.92694,                0.70021,                0.82114,                0.89024,                 1.3835,              0.0011486,              0.0011486,              0.0011486
                     45,                0.94517,                 1.0096,                 1.5677,                0.86335,                0.80513,                0.90772,                0.69711,                0.80687,                0.87467,                 1.3922,              0.0011288,              0.0011288,              0.0011288
                     46,                0.93056,                 1.0032,                 1.5395,                0.87258,                0.81547,                0.91369,                0.70744,                0.79371,                0.85675,                 1.3745,               0.001109,               0.001109,               0.001109
                     47,                0.95575,                0.97541,                 1.5618,                0.90612,                0.79984,                0.91407,                0.70568,                0.80389,                0.80911,                 1.3778,              0.0010892,              0.0010892,              0.0010892
                     48,                0.94441,                 0.9827,                 1.5679,                0.89323,                0.84471,                0.92992,                0.69761,                0.88773,                0.92227,                 1.4381,              0.0010694,              0.0010694,              0.0010694
                     49,                0.93013,                0.98516,                 1.5525,                0.89214,                0.82947,                0.92811,                0.70632,                0.84623,                0.77835,                 1.3919,              0.0010496,              0.0010496,              0.0010496
                     50,                0.91929,                0.95526,                  1.538,                0.89526,                0.84518,                0.92864,                0.69958,                0.87543,                 0.8691,                 1.4442,              0.0010298,              0.0010298,              0.0010298
                     51,                0.92256,                0.93407,                 1.5284,                0.91174,                0.84401,                0.93422,                0.72467,                0.81869,                0.78008,                 1.3875,                0.00101,                0.00101,                0.00101
                     52,                0.88322,                0.92804,                 1.4919,                0.88578,                 0.8425,                0.93264,                0.73113,                0.77936,                0.75492,                 1.3465,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88088,                0.91519,                 1.5107,                0.90979,                0.85686,                0.94186,                0.74525,                0.74238,                0.72427,                 1.3009,              0.0009704,              0.0009704,              0.0009704
                     54,                0.88396,                0.90573,                 1.5055,                0.89238,                0.85461,                0.93667,                0.74191,                0.74759,                0.71882,                 1.3013,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85476,                0.89955,                 1.4884,                0.91686,                 0.8468,                0.93641,                0.74855,                0.74312,                0.76362,                 1.3089,              0.0009308,              0.0009308,              0.0009308
                     56,                0.86579,                0.90249,                 1.4883,                 0.9201,                0.86603,                0.94632,                 0.7578,                0.72896,                0.69637,                 1.2806,               0.000911,               0.000911,               0.000911
                     57,                0.85243,                0.89819,                 1.4838,                 0.9163,                0.82591,                0.94181,                0.75923,                0.72999,                0.71187,                 1.2896,              0.0008912,              0.0008912,              0.0008912
                     58,                0.84442,                0.88938,                 1.4724,                0.93364,                0.87205,                0.95372,                0.75606,                0.76506,                0.72943,                 1.3351,              0.0008714,              0.0008714,              0.0008714
                     59,                0.84304,                0.87205,                 1.4623,                0.91907,                0.86994,                0.94964,                0.76744,                0.71839,                0.66008,                 1.2891,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78809,                0.83047,                  1.417,                0.92871,                0.87089,                0.95217,                0.77406,                 0.6979,                0.66384,                 1.2657,              0.0008318,              0.0008318,              0.0008318
                     61,                0.83768,                0.86139,                 1.4646,                0.93087,                0.86272,                0.94957,                0.76307,                0.76195,                0.66391,                 1.3078,               0.000812,               0.000812,               0.000812
                     62,                0.84961,                0.83671,                 1.4668,                0.92588,                0.88579,                0.95332,                0.76692,                0.71407,                0.67614,                 1.2752,              0.0007922,              0.0007922,              0.0007922
                     63,                0.81109,                0.82066,                 1.4254,                0.92927,                0.87117,                0.95295,                0.77034,                0.70745,                0.65221,                 1.2554,              0.0007724,              0.0007724,              0.0007724
                     64,                0.82072,                0.84092,                 1.4425,                0.92815,                0.87256,                0.95498,                0.77776,                0.69552,                0.65451,                 1.2671,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81313,                0.80583,                 1.4362,                0.95093,                0.87674,                0.95772,                0.79325,                0.68298,                0.61076,                 1.2244,              0.0007328,              0.0007328,              0.0007328
                     66,                0.77599,                0.78617,                 1.3992,                0.93814,                0.88858,                0.96049,                0.78835,                0.68341,                 0.6191,                 1.2172,               0.000713,               0.000713,               0.000713
                     67,                0.76268,                0.77386,                 1.3791,                0.93404,                0.88928,                0.95995,                 0.7913,                0.68445,                0.63209,                 1.2502,              0.0006932,              0.0006932,              0.0006932
                     68,                0.77748,                0.78476,                 1.4022,                0.95209,                0.89206,                0.96082,                0.80555,                0.66014,                0.58753,                 1.2223,              0.0006734,              0.0006734,              0.0006734
                     69,                0.77193,                0.80395,                 1.4097,                0.92569,                0.90221,                0.96655,                0.79984,                0.65854,                0.59449,                 1.2138,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81349,                0.79996,                   1.43,                0.93244,                0.89763,                0.96213,                0.79848,                0.66345,                0.61362,                 1.2065,              0.0006338,              0.0006338,              0.0006338
                     71,                0.76593,                0.79087,                 1.3839,                0.93097,                0.88022,                0.95767,                0.79282,                0.64966,                0.60328,                 1.2038,               0.000614,               0.000614,               0.000614
                     72,                0.78418,                0.77443,                 1.3941,                0.92963,                0.90162,                0.96211,                0.79478,                0.66089,                0.59471,                 1.2055,              0.0005942,              0.0005942,              0.0005942
                     73,                0.76773,                0.76257,                 1.3959,                0.91883,                 0.9039,                0.95943,                0.79173,                 0.6736,                0.59349,                 1.2164,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73351,                0.75642,                 1.3751,                0.95334,                0.86787,                0.95721,                 0.7997,                0.64038,                 0.5898,                  1.219,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74187,                0.75515,                 1.3855,                0.94314,                0.90111,                0.96407,                0.81109,                0.61842,                  0.563,                 1.1878,              0.0005348,              0.0005348,              0.0005348
                     76,                0.73005,                0.73217,                 1.3674,                0.92958,                0.91921,                0.96575,                0.81222,                0.62312,                0.55595,                 1.1834,               0.000515,               0.000515,               0.000515
                     77,                0.75294,                0.74062,                 1.3798,                 0.9472,                0.89833,                0.96783,                0.81463,                 0.6284,                0.56281,                 1.1883,              0.0004952,              0.0004952,              0.0004952
                     78,                0.72773,                0.75375,                 1.3658,                0.94653,                0.90251,                0.96428,                0.81179,                0.61123,                0.54742,                 1.1819,              0.0004754,              0.0004754,              0.0004754
