                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1131,                 3.1092,                 4.1618,                0.01671,                0.85864,                0.05756,                0.02756,                 2.8575,                 3.0584,                 4.1472,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.0125,                 2.6976,                 3.9383,                0.01675,                0.86072,                0.06958,                0.02875,                 2.7459,                 2.8622,                 4.0287,             0.00061693,             0.00061693,             0.00061693
                      2,                 2.7185,                 2.5068,                 3.6433,                0.19713,                0.40529,                0.16559,                0.05188,                 2.8006,                  3.126,                  4.031,             0.00093069,             0.00093069,             0.00093069
                      3,                 2.5556,                 2.4361,                 3.3566,                0.01688,                0.86769,                0.15507,                0.06049,                 2.6893,                 2.9175,                 4.1138,              0.0012413,              0.0012413,              0.0012413
                      4,                 2.3774,                  2.259,                 3.0834,                0.07853,                 0.5766,                0.16215,                0.05967,                 3.0393,                 7.4359,                 10.832,              0.0015487,              0.0015487,              0.0015487
                      5,                 2.3014,                 2.1974,                 2.9734,                  0.023,                0.80432,                0.02199,                0.01274,                 2.8925,                    inf,                 19.649,               0.001853,               0.001853,               0.001853
                      6,                 2.1288,                 2.0788,                 2.7577,                0.03043,                0.71031,                0.04638,                0.01385,                 3.2024,                    inf,                 6.7949,              0.0019406,              0.0019406,              0.0019406
                      7,                 2.0109,                 1.9858,                 2.6504,                0.07895,                0.00209,                0.04416,                0.01505,                  2.974,                 4.6756,                 4.1273,              0.0019406,              0.0019406,              0.0019406
                      8,                  1.928,                 1.9283,                  2.555,                0.03794,                0.07869,                0.03118,                0.01278,                 2.9541,                 5.3254,                 4.0971,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.7881,                 1.8152,                 2.3908,                0.37397,                0.25766,                0.21469,                0.08136,                  2.453,                 3.0569,                 3.5552,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.6919,                 1.7596,                  2.334,                0.61035,                0.48677,                 0.5168,                0.24583,                 1.9393,                 2.0727,                 2.8289,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.5909,                 1.6919,                 2.2548,                0.52715,                0.60933,                0.54265,                0.26728,                 1.6465,                 2.2199,                  2.446,               0.001901,               0.001901,               0.001901
                     12,                 1.5893,                 1.6139,                 2.2151,                0.56775,                0.63479,                0.57719,                0.28586,                 1.5791,                 2.2311,                 2.3867,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.4658,                 1.5075,                 2.1146,                0.63054,                 0.6156,                0.59896,                0.32253,                 1.4687,                 2.3366,                 2.2734,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.4444,                 1.5126,                 2.0971,                 0.6043,                 0.6349,                0.62281,                0.32255,                 1.3496,                 2.9857,                 2.1781,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.3421,                 1.4187,                 2.0114,                0.57095,                0.65111,                0.61135,                0.29415,                 1.4575,                 3.5274,                 2.3513,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.3358,                 1.3895,                 1.9918,                0.78647,                0.66017,                0.72432,                0.44377,                  1.264,                 1.6966,                 1.9848,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.3018,                 1.3786,                 1.9354,                0.76218,                0.68245,                0.76862,                0.48632,                 1.1465,                 1.5904,                 1.8304,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.2572,                 1.3304,                 1.8957,                0.76779,                 0.6929,                0.76672,                0.47627,                 1.1179,                 1.5239,                 1.7828,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.2636,                 1.3261,                 1.9073,                0.79448,                0.67618,                0.78201,                0.50357,                 1.1282,                 1.5191,                 1.7844,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.2184,                 1.3135,                 1.8693,                 0.8243,                0.69914,                0.80291,                0.51227,                 1.1459,                 1.3628,                 1.7877,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.1885,                 1.2857,                 1.8258,                 0.6696,                0.67897,                0.72227,                0.41398,                 1.3035,                  1.628,                 1.9533,               0.001802,               0.001802,               0.001802
                     22,                 1.1638,                 1.2597,                 1.8035,                0.77269,                0.73677,                0.80102,                0.48707,                 1.1554,                 1.4267,                 1.7879,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.1588,                 1.2057,                  1.788,                0.77366,                0.71379,                0.77871,                0.47996,                 1.1679,                 1.3976,                 1.8709,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.1234,                 1.1927,                 1.7647,                0.76595,                0.75279,                0.82946,                0.54563,                 1.0597,                 1.2243,                 1.7089,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.1064,                 1.1642,                 1.7475,                0.83371,                0.75139,                0.84777,                 0.5637,                 1.0531,                 1.1248,                 1.6542,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.0966,                 1.1649,                 1.7063,                0.80302,                0.75515,                0.85385,                0.60645,                 1.0052,                 1.1139,                 1.5979,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.0543,                   1.14,                 1.6849,                0.80913,                0.75975,                0.83834,                0.58552,                 1.0158,                  1.114,                 1.6774,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.0619,                 1.1305,                 1.7026,                0.79274,                0.75696,                0.84907,                0.61951,                0.93928,                 1.1516,                 1.5697,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.0028,                 1.0534,                  1.636,                0.64403,                0.65517,                0.70944,                0.43679,                 1.1343,                 1.9308,                 1.7939,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.0101,                 1.0697,                 1.6619,                0.83467,                0.79805,                 0.8832,                0.62744,                0.94925,                 1.0025,                 1.6176,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.0105,                 1.0379,                 1.6307,                 0.8533,                0.78989,                0.88612,                0.61396,                0.98028,                  1.016,                 1.6144,               0.001703,               0.001703,               0.001703
                     32,                 1.0037,                 1.0406,                 1.6413,                0.80132,                0.78064,                0.86783,                0.62216,                0.95347,                  1.054,                 1.5538,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.0092,                 1.0517,                 1.6336,                0.86229,                  0.798,                0.90174,                0.66949,                 0.9057,                0.91818,                 1.4992,              0.0016832,              0.0016832,              0.0016832
                     34,                0.96887,                0.99467,                 1.5776,                0.84792,                0.79805,                0.88584,                0.62276,                0.91529,                 1.0736,                 1.5329,              0.0016733,              0.0016733,              0.0016733
                     35,                  1.019,                 1.0495,                 1.6285,                0.86397,                0.80641,                0.90154,                0.65875,                0.91647,                0.99893,                 1.5292,              0.0016634,              0.0016634,              0.0016634
                     36,                0.97966,                0.97774,                 1.5952,                0.87433,                0.81476,                0.91831,                0.68942,                 0.8645,                0.90751,                 1.5136,              0.0016535,              0.0016535,              0.0016535
                     37,                0.92834,                   0.95,                 1.5657,                0.87059,                0.81986,                 0.9158,                0.68681,                 0.8315,                0.82455,                 1.4787,              0.0016436,              0.0016436,              0.0016436
                     38,                0.88906,                0.92586,                 1.5338,                0.86973,                0.83496,                0.92616,                0.62745,                 1.0155,                0.94704,                 1.6354,              0.0016337,              0.0016337,              0.0016337
                     39,                0.91382,                0.93745,                 1.5549,                0.86529,                0.86003,                0.92876,                0.68463,                0.92057,                0.83674,                  1.507,              0.0016238,              0.0016238,              0.0016238
                     40,                0.89993,                0.91577,                 1.5465,                0.87745,                0.82939,                0.91806,                0.69162,                 0.8512,                0.81628,                 1.4826,              0.0016139,              0.0016139,              0.0016139
                     41,                0.93263,                0.92687,                 1.5567,                0.86804,                0.85028,                0.92225,                0.71031,                0.82665,                0.78746,                 1.4265,               0.001604,               0.001604,               0.001604
                     42,                0.87097,                0.89391,                  1.515,                0.85458,                0.84714,                 0.9239,                0.70849,                0.81824,                0.78697,                 1.4605,              0.0015941,              0.0015941,              0.0015941
                     43,                 0.8388,                0.88412,                 1.4863,                  0.888,                0.81337,                0.92475,                 0.7048,                0.82261,                0.73813,                 1.4432,              0.0015842,              0.0015842,              0.0015842
