                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1287,                 3.2976,                 4.1864,                0.01672,                0.85933,                 0.0486,                 0.0247,                 2.8561,                 3.1211,                 4.1523,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.0975,                 2.9219,                  4.035,                0.01675,                0.86072,                0.05848,                0.02879,                 2.8379,                  3.052,                 4.1134,             0.00061386,             0.00061386,             0.00061386
                      2,                  3.033,                 2.6854,                 3.8644,                0.01687,                0.86699,                0.07321,                0.03275,                 2.7468,                 2.9167,                 3.9799,             0.00092139,             0.00092139,             0.00092139
                      3,                 2.9147,                 2.5741,                 3.6176,                0.05372,                0.67618,                0.23639,                0.09134,                 2.6252,                 2.8298,                 3.5654,              0.0012226,              0.0012226,              0.0012226
                      4,                 2.6803,                 2.4532,                 3.4034,                0.07184,                0.61003,                0.23765,                0.09049,                 2.7309,                 3.0755,                  3.748,              0.0015174,              0.0015174,              0.0015174
                      5,                 2.5511,                 2.3785,                  3.226,                0.11555,                0.31546,                0.18548,                  0.065,                 2.7217,                 2.9637,                 3.6689,               0.001806,               0.001806,               0.001806
                      6,                 2.3731,                 2.2784,                 2.9964,                0.23891,                0.22702,                0.17592,                0.06543,                 2.8134,                   5.29,                 3.6196,              0.0018812,              0.0018812,              0.0018812
                      7,                 2.2578,                 2.2282,                 2.9005,                0.29364,                0.29267,                0.22851,                0.08689,                 2.4625,                 2.8592,                 3.4361,              0.0018812,              0.0018812,              0.0018812
                      8,                   2.09,                  2.121,                  2.717,                0.43059,                0.38495,                0.31926,                0.13671,                  2.372,                 2.6876,                 3.2204,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9569,                 2.0129,                 2.5897,                0.60623,                0.50389,                0.50613,                0.24729,                 1.9261,                 2.1837,                 2.7267,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8599,                 1.9587,                 2.5114,                0.65735,                0.56198,                 0.5833,                0.29232,                 1.7389,                 1.9868,                 2.5197,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.797,                 1.9256,                 2.4702,                0.61573,                0.56616,                 0.5622,                0.27649,                 1.7357,                   1.92,                 2.5625,               0.001802,               0.001802,               0.001802
                     12,                 1.7288,                 1.8321,                 2.3518,                0.59322,                0.52994,                0.56709,                0.29206,                 1.5118,                 2.4035,                 2.2612,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5978,                 1.7332,                 2.2464,                0.75369,                0.61367,                0.67626,                0.39573,                  1.361,                  1.967,                 2.1071,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5502,                 1.7076,                 2.2073,                0.73876,                0.61978,                0.69374,                0.40698,                 1.3422,                  1.899,                 2.1004,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.486,                 1.6179,                  2.131,                 0.6641,                0.61421,                0.66966,                0.36664,                 1.3932,                 1.9308,                 2.1104,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4201,                 1.5659,                 2.0791,                0.72683,                0.64481,                0.69332,                0.41086,                 1.2881,                 1.7849,                 2.0064,               0.001703,               0.001703,               0.001703
                     17,                 1.3816,                 1.5387,                 2.0169,                0.74087,                0.64308,                0.72949,                0.44089,                 1.2869,                 1.6025,                 2.0077,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3528,                 1.4878,                 1.9827,                0.70733,                0.65111,                0.70288,                0.40275,                 1.2581,                 1.7239,                 1.9717,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3491,                 1.4724,                 2.0084,                0.81647,                0.67618,                0.76451,                0.46895,                 1.2264,                 1.4319,                 1.9139,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2902,                 1.4298,                 1.9209,                 0.8119,                0.61908,                 0.7219,                0.45442,                 1.1906,                 1.5033,                 1.8756,              0.0016238,              0.0016238,              0.0016238
