                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0957,                 3.1996,                 4.1506,                0.01046,                0.84064,                0.04273,                0.01751,                 2.7614,                  3.318,                 4.1111,                0.00062,                0.00062,                0.00062
                      1,                 3.0206,                 2.8443,                 3.8102,                0.05207,                0.59639,                0.15193,                0.05051,                 2.8138,                 4.0111,                 3.7685,              0.0012538,              0.0012538,              0.0012538
                      2,                 2.7586,                 2.7187,                  3.459,                0.06048,                0.55805,                0.13755,                0.04659,                 2.7597,                 4.1165,                 3.7305,              0.0018812,              0.0018812,              0.0018812
                      3,                 2.5299,                 2.5889,                 3.1453,                0.14746,                0.13089,                0.06502,                0.02414,                 2.7128,                 3.7126,                 3.9759,              0.0019703,              0.0019703,              0.0019703
                      4,                 2.3274,                  2.501,                 2.9103,                0.39938,                0.38554,                0.33395,                0.13529,                 2.2783,                 2.5767,                 3.1432,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.1182,                 2.3387,                 2.6916,                 0.5071,                0.42607,                0.42687,                0.20196,                 1.9604,                  3.739,                 2.7867,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.0008,                 2.1463,                 2.5842,                0.37013,                0.43264,                0.29401,                0.12906,                 1.9118,                 3.6049,                 2.6553,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.8417,                 2.0742,                  2.453,                0.33403,                0.42223,                0.28309,                0.11367,                 2.1681,                 2.6419,                  3.158,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.7256,                 1.9361,                 2.3337,                0.66471,                0.48631,                0.57281,                0.31844,                 1.7431,                 2.3932,                  2.497,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.6463,                 1.8514,                 2.2508,                0.74761,                0.51262,                0.61501,                0.35867,                 1.7022,                 2.1799,                 2.4003,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.5939,                  1.796,                 2.2051,                0.70433,                0.55805,                0.63809,                0.35738,                 1.6857,                 2.1447,                 2.3773,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.5308,                 1.7772,                  2.158,                0.74535,                0.56791,                0.66324,                0.39003,                 1.5862,                 2.0648,                 2.2588,               0.001901,               0.001901,               0.001901
                     12,                 1.4715,                 1.6695,                 2.0561,                0.67849,                0.58364,                0.62933,                 0.3613,                 1.5736,                 2.3451,                 2.3075,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.4079,                  1.617,                 2.0209,                0.71388,                0.56462,                0.64804,                0.39172,                 1.5651,                 1.8549,                 2.2419,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.4128,                 1.6521,                 2.0244,                0.79045,                0.61172,                0.69834,                0.41216,                 1.5403,                  1.864,                 2.1845,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.3815,                 1.6038,                 1.9967,                0.75469,                0.60653,                0.69221,                0.42582,                 1.4915,                 1.7394,                 2.1458,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.3719,                 1.5921,                 1.9932,                0.75716,                0.63177,                0.68753,                0.41629,                 1.4792,                 1.8831,                 2.2179,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.3622,                 1.5551,                 1.9778,                0.75315,                0.62048,                0.70768,                0.43459,                 1.4752,                 1.6613,                 2.1036,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.3083,                 1.5073,                 1.9369,                0.78893,                0.63143,                0.73297,                0.47025,                 1.4302,                 1.6409,                  2.129,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.2884,                 1.5165,                  1.912,                0.78625,                0.66046,                0.74368,                0.48703,                 1.3997,                 1.5893,                 2.0869,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.2789,                 1.4642,                 1.8988,                0.77628,                0.66319,                0.74469,                 0.4552,                 1.4875,                  1.705,                 2.0615,              0.0018119,              0.0018119,              0.0018119
