                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1287,                 3.2976,                 4.1864,                0.01672,                0.85933,                 0.0486,                 0.0247,                 2.8561,                 3.1211,                 4.1523,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.0974,                 2.9241,                 4.0354,                0.01669,                0.85794,                0.06184,                0.02839,                 2.8373,                 3.0513,                 4.1128,             0.00060772,             0.00060772,             0.00060772
                      2,                 3.0334,                 2.6883,                 3.8684,                0.01691,                0.86908,                0.12827,                0.04583,                 2.7687,                 2.9186,                 3.9996,             0.00090278,             0.00090278,             0.00090278
                      3,                 2.9144,                 2.5861,                  3.627,                0.01709,                0.87813,                 0.2054,                0.07758,                 2.7759,                 2.8617,                 3.7767,              0.0011852,              0.0011852,              0.0011852
                      4,                 2.6936,                 2.4478,                 3.4096,                0.23497,                0.32339,                0.23824,                0.08778,                  2.659,                 3.4066,                 3.4853,              0.0014549,              0.0014549,              0.0014549
                      5,                 2.5746,                 2.3969,                  3.236,                0.05165,                0.67409,                0.08857,                0.03454,                 2.7183,                 3.0308,                 3.9756,              0.0017119,              0.0017119,              0.0017119
                      6,                 2.3885,                 2.3087,                 3.0034,                0.06985,                0.56546,                0.11248,                0.04095,                 2.8263,                 3.1133,                 4.0225,              0.0017624,              0.0017624,              0.0017624
                      7,                 2.2432,                 2.2199,                 2.8854,                0.26008,                0.23816,                0.16664,                0.06053,                  2.695,                 3.0637,                 3.9585,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0965,                 2.1195,                 2.7195,                0.35963,                0.35585,                0.27114,                0.10786,                 2.4672,                 2.8432,                 3.3348,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9859,                 2.0303,                 2.6236,                0.50056,                0.45891,                0.43472,                 0.1958,                 2.0252,                   2.39,                 2.8485,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8742,                 1.9582,                 2.5115,                0.70058,                0.55919,                0.59945,                0.31517,                 1.7047,                 1.9531,                 2.4523,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8045,                 1.9181,                 2.4644,                0.73338,                0.55571,                0.63245,                0.34106,                 1.6288,                  2.078,                 2.3777,               0.001604,               0.001604,               0.001604
                     12,                 1.7249,                 1.8292,                 2.3514,                0.70272,                0.55501,                0.62999,                0.35645,                 1.4774,                 2.0733,                 2.2006,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5966,                 1.7354,                 2.2513,                0.74541,                0.61576,                0.68361,                0.38374,                 1.3892,                 2.0116,                 2.1176,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5508,                 1.6957,                  2.201,                0.72447,                0.62187,                0.68806,                 0.4127,                 1.3501,                 1.6886,                 2.0623,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5004,                 1.6322,                  2.142,                0.78387,                0.61003,                0.70639,                 0.4181,                 1.2935,                 1.7388,                 1.9852,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4553,                 1.5552,                 2.1157,                0.78064,                0.61954,                0.71359,                0.44028,                 1.2913,                 1.7072,                 1.9892,               0.001406,               0.001406,               0.001406
                     17,                 1.3855,                 1.5429,                 2.0428,                0.68707,                0.61159,                 0.6667,                0.41019,                 1.2704,                 1.7555,                 1.9441,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3364,                 1.4855,                 1.9887,                 0.8105,                 0.6163,                0.74035,                0.46532,                 1.2448,                 1.5151,                 1.9067,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3535,                 1.4638,                 2.0171,                0.77627,                0.68315,                 0.7542,                0.47061,                  1.226,                  1.489,                 1.8932,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2979,                 1.4272,                 1.9323,                0.81212,                0.65877,                0.75791,                0.48642,                 1.1576,                   1.49,                 1.8074,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2716,                 1.4236,                 1.9189,                0.81403,                0.68245,                0.78484,                0.51703,                 1.1263,                 1.3587,                 1.8092,               0.001208,               0.001208,               0.001208
                     22,                  1.252,                 1.3916,                 1.9159,                0.81623,                0.66992,                 0.7949,                0.53623,                 1.0816,                 1.3427,                   1.75,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2066,                 1.3395,                 1.8792,                0.81344,                 0.6929,                0.79833,                0.52696,                 1.0989,                 1.3905,                 1.7547,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.191,                 1.3507,                  1.877,                0.81525,                0.71727,                0.81095,                0.54164,                 1.1004,                 1.3078,                 1.7787,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.195,                 1.3436,                  1.857,                0.76452,                0.71379,                0.79287,                0.51059,                 1.0834,                 1.4264,                 1.7691,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1672,                 1.2893,                 1.8229,                0.85368,                0.71518,                0.83573,                0.57872,                  1.024,                 1.2181,                 1.6788,                0.00101,                0.00101,                0.00101
                     27,                 1.1754,                 1.2702,                 1.8244,                 0.8406,                0.72841,                0.84151,                0.57433,                 1.0403,                 1.1971,                 1.6876,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1295,                 1.2691,                 1.7836,                0.82506,                0.73468,                0.83954,                0.59385,                 1.0035,                 1.1644,                  1.653,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1566,                 1.2651,                 1.8117,                0.81064,                0.70951,                0.81564,                0.56862,                 1.0568,                 1.2649,                 1.7208,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0881,                 1.1948,                 1.7491,                 0.8332,                0.71308,                0.83596,                0.59264,                 1.0105,                  1.132,                 1.6562,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0841,                 1.1869,                 1.7518,                0.81376,                 0.7546,                0.85434,                0.62434,                0.94317,                 1.0761,                 1.5873,               0.000812,               0.000812,               0.000812
                     32,                 1.0999,                 1.1895,                 1.7615,                 0.8583,                 0.7297,                0.84716,                0.61753,                0.94959,                 1.1319,                 1.5984,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0558,                 1.1778,                 1.7247,                0.86827,                 0.7688,                0.87042,                0.64027,                 0.9234,                 1.0545,                 1.5557,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0523,                 1.1715,                 1.7181,                0.84513,                0.76253,                0.86127,                0.63114,                0.95811,                 1.0665,                 1.5821,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0386,                 1.1271,                 1.7101,                0.84504,                0.77091,                0.87093,                0.65148,                0.90366,                  1.043,                 1.5387,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0247,                 1.1417,                 1.7032,                0.86088,                0.77368,                0.87996,                0.65723,                0.88958,                0.98709,                 1.5339,               0.000614,               0.000614,               0.000614
                     37,                 1.0101,                 1.1341,                 1.6636,                0.87186,                0.78203,                0.88915,                0.66676,                0.88483,                 1.0053,                 1.5204,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0079,                 1.1214,                 1.6803,                0.87733,                0.78552,                0.89727,                0.66972,                0.90333,                0.97228,                 1.5238,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0015,                 1.0899,                 1.6651,                0.87641,                0.79666,                0.89839,                 0.6772,                  0.875,                 0.9663,                 1.5273,              0.0004952,              0.0004952,              0.0004952
