                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1183,                 3.2655,                 4.1814,                0.01671,                0.85864,                0.04841,                0.02446,                 2.8554,                 3.1206,                 4.1516,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.1056,                 2.9289,                 4.0461,                0.01673,                0.86003,                0.06404,                  0.026,                 2.8253,                 3.0506,                 4.1118,             0.00061693,             0.00061693,             0.00061693
                      2,                 2.9915,                 2.7008,                 3.8344,                0.01687,                0.86699,                0.16794,                0.06152,                 2.6497,                 2.9158,                 3.9111,             0.00093069,             0.00093069,             0.00093069
                      3,                 2.8214,                 2.5888,                 3.5701,                0.06254,                0.65599,                0.26586,                0.10026,                 2.6649,                 2.9597,                  3.572,              0.0012413,              0.0012413,              0.0012413
                      4,                 2.6481,                 2.5178,                 3.3243,                0.07824,                 0.5954,                0.21173,                0.07731,                 2.7419,                 5.1434,                 3.7794,              0.0015487,              0.0015487,              0.0015487
                      5,                 2.5015,                 2.3746,                 3.1372,                0.18238,                    0.5,                0.21233,                0.08427,                 2.7766,                 7.1346,                 3.5073,               0.001853,               0.001853,               0.001853
                      6,                 2.3491,                 2.2795,                 2.9839,                0.05113,                0.72284,                0.07613,                0.02795,                 2.7706,                 3.7376,                 4.4374,              0.0019406,              0.0019406,              0.0019406
                      7,                 2.1955,                 2.1987,                 2.8354,                0.28911,                0.27302,                  0.195,                0.08015,                 2.6047,                 3.0564,                 3.8312,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.0788,                 2.1026,                  2.699,                0.44292,                 0.3085,                0.25148,                 0.0842,                 2.6836,                 2.9219,                 3.6433,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.9678,                 2.0707,                 2.6008,                 0.6075,                0.48955,                0.50453,                0.24644,                 1.9977,                 2.3158,                 2.7148,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.8538,                 1.9706,                 2.4926,                0.56289,                0.50139,                0.49265,                0.25143,                 1.7882,                  2.133,                 2.5898,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.7372,                 1.9315,                 2.3894,                 0.5856,                0.60376,                0.55192,                0.29199,                 1.5888,                 1.9861,                 2.3272,               0.001901,               0.001901,               0.001901
                     12,                 1.6952,                 1.8141,                 2.3192,                0.53764,                0.59123,                0.53113,                0.24224,                  1.619,                 2.4074,                 2.3338,              0.0018911,              0.0018911,              0.0018911
                     13,                  1.611,                 1.7213,                 2.2463,                0.62306,                0.58914,                0.58569,                0.31065,                 1.5339,                 2.1488,                  2.249,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.5808,                 1.6988,                  2.219,                0.66448,                0.61838,                0.65058,                0.35598,                 1.3493,                 2.5932,                 2.0428,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.4422,                 1.5877,                 2.1071,                0.69817,                0.65669,                0.70904,                0.37762,                 1.4814,                 1.7224,                 2.1647,              0.0018614,              0.0018614,              0.0018614
                     16,                  1.426,                  1.576,                 2.0724,                 0.7758,                0.64833,                0.71147,                0.40464,                  1.358,                 1.6046,                  2.037,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.4187,                 1.5664,                 2.0386,                0.81588,                0.63649,                0.76085,                0.49544,                 1.2137,                 1.5055,                 1.8464,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.3613,                 1.5138,                  2.001,                0.80882,                0.67466,                 0.7519,                0.46153,                 1.2336,                 1.4925,                 1.8916,              0.0018317,              0.0018317,              0.0018317
                     19,                  1.335,                 1.4716,                 1.9643,                0.76991,                0.67341,                0.77664,                0.51929,                 1.1668,                 1.3781,                 1.8208,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.3241,                 1.4567,                  1.963,                0.76589,                0.64345,                0.75639,                0.47632,                 1.2226,                 1.5804,                  1.817,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.2963,                 1.4265,                 1.9088,                 0.7135,                0.62604,                0.70873,                0.43003,                 1.2146,                 1.6504,                 1.8202,               0.001802,               0.001802,               0.001802
