                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1183,                 3.2655,                 4.1814,                0.01671,                0.85864,                0.04841,                0.02446,                 2.8554,                 3.1206,                 4.1516,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.1058,                 2.9269,                 4.0455,                0.01668,                0.85724,                0.05804,                0.02878,                  2.823,                 3.0508,                 4.1109,             0.00061877,             0.00061877,             0.00061877
                      2,                 2.9924,                 2.6914,                 3.8274,                0.01682,                0.86421,                0.16049,                0.05262,                 2.7346,                 2.9445,                 4.0101,             0.00093628,             0.00093628,             0.00093628
                      3,                 2.8313,                 2.6034,                 3.5956,                0.06525,                0.67131,                0.27898,                 0.1052,                 2.6633,                   2.83,                 3.7177,              0.0012525,              0.0012525,              0.0012525
                      4,                 2.6858,                 2.5126,                   3.38,                0.11868,                 0.5578,                0.28815,                0.10844,                  2.765,                 4.5126,                 3.6832,              0.0015675,              0.0015675,              0.0015675
                      5,                 2.5261,                 2.3698,                 3.1717,                0.23527,                0.50348,                0.25063,                0.09665,                 2.7571,                 5.9754,                 3.4968,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.3577,                 2.2881,                 3.0275,                0.22038,                0.24234,                0.18333,                0.06729,                 2.7436,                  3.458,                 4.3354,              0.0019762,              0.0019762,              0.0019762
                      7,                 2.1838,                 2.1726,                  2.844,                0.31685,                0.26452,                0.22205,                0.08385,                 2.7915,                  3.271,                 4.0968,              0.0019762,              0.0019762,              0.0019762
                      8,                 2.0885,                 2.1186,                 2.7466,                0.47147,                0.30292,                0.27988,                0.09059,                 2.6043,                 2.9383,                 3.9702,              0.0019723,              0.0019723,              0.0019723
                      9,                 1.9413,                 2.1189,                 2.5903,                0.60856,                0.45474,                0.48365,                0.23259,                 2.0906,                 2.2745,                 2.8599,              0.0019683,              0.0019683,              0.0019683
                     10,                 1.8651,                 2.0165,                   2.52,                0.60448,                0.57578,                0.54865,                0.27875,                 1.8105,                 2.0531,                 2.5391,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.7617,                 1.9426,                   2.41,                0.55169,                 0.5773,                0.51526,                0.24253,                 1.7115,                 2.2932,                 2.5112,              0.0019604,              0.0019604,              0.0019604
                     12,                 1.6927,                 1.8366,                 2.3266,                0.68571,                0.58496,                0.62844,                0.33046,                 1.5413,                 2.1215,                 2.2513,              0.0019564,              0.0019564,              0.0019564
                     13,                 1.6024,                 1.7551,                 2.2569,                0.51686,                0.49234,                0.45812,                0.21398,                 1.6503,                 4.6316,                 2.3704,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.6172,                 1.7565,                 2.2646,                0.77767,                0.61978,                0.70273,                0.39569,                 1.3893,                 2.1505,                  2.035,              0.0019485,              0.0019485,              0.0019485
                     15,                 1.4452,                 1.6116,                  2.111,                0.68927,                 0.6351,                0.69186,                0.40553,                 1.3173,                 2.1754,                 1.9326,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.4342,                 1.6048,                 2.0955,                0.71716,                0.67131,                0.71751,                0.41849,                 1.3087,                 1.6935,                 1.9269,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.4344,                 1.5859,                 2.0775,                0.81561,                0.63456,                0.73451,                 0.4593,                 1.2606,                 1.6136,                 1.8805,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.3759,                 1.5475,                 2.0272,                0.78876,                0.63579,                0.74176,                0.47198,                 1.2097,                 1.5424,                 1.8215,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.3879,                 1.5178,                 2.0027,                0.77392,                0.62934,                0.74161,                0.46662,                 1.2093,                 1.7618,                  1.798,              0.0019287,              0.0019287,              0.0019287
                     20,                  1.342,                 1.5055,                  1.985,                0.73104,                0.68663,                0.74133,                 0.4519,                 1.1654,                 1.6266,                 1.7354,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.3022,                 1.4331,                 1.9179,                0.82488,                0.62674,                0.76855,                0.50458,                 1.1498,                 1.3427,                 1.6931,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.2456,                 1.4216,                 1.8811,                0.77534,                0.68524,                0.78431,                0.52243,                   1.13,                 1.3935,                 1.6862,              0.0019168,              0.0019168,              0.0019168
                     23,                 1.2195,                 1.3573,                 1.8649,                 0.7765,                  0.711,                0.80136,                0.52658,                 1.0809,                 1.3527,                 1.6735,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.2033,                 1.3376,                 1.8353,                0.82191,                0.69741,                0.80586,                0.54528,                  1.068,                 1.2689,                 1.6346,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.1945,                 1.3248,                 1.8364,                0.82307,                0.72242,                0.82771,                0.55679,                 1.0541,                 1.2341,                 1.6543,               0.001905,               0.001905,               0.001905
                     26,                  1.168,                 1.3329,                 1.7955,                0.80648,                0.72214,                0.82127,                0.57412,                 1.0251,                 1.2449,                 1.5881,               0.001901,               0.001901,               0.001901
                     27,                 1.1527,                 1.3134,                 1.7956,                 0.7937,                0.73142,                0.83238,                0.54638,                 1.1089,                 1.3325,                 1.6863,               0.001897,               0.001897,               0.001897
                     28,                 1.1712,                 1.2987,                 1.8186,                0.81253,                0.73343,                0.83294,                0.57927,                0.97823,                 1.2454,                 1.5545,              0.0018931,              0.0018931,              0.0018931
                     29,                 1.0951,                 1.2244,                 1.7365,                0.78459,                0.73538,                 0.8201,                0.56833,                 1.0204,                 1.2195,                 1.5935,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.0894,                 1.2221,                 1.7398,                0.83668,                 0.7312,                0.84854,                0.61281,                0.98203,                 1.0606,                 1.5261,              0.0018852,              0.0018852,              0.0018852
